world_idx,mse_u,mse_v
1253,0.6500511116384179,1.0252960863531062
1447,0.12812390913767902,0.1583569956250164
16265,3.208684566613365,2.529402822816756
2815,1.489104866244636,1.441653442680876
15094,0.9790946589151551,0.9258293054767628
4361,25.41243576654044,21.980611766542495
12477,15.103998504663714,13.349386033131916
13434,5.151336420155813,5.141574463782709
16716,1.8714769446711352,1.791084245717238
9306,0.6974794862760502,0.5853253747428703
10405,1.3195105414802757,1.153042164304898
16219,0.7139769594968993,0.8286646510683862
4801,1.0349472941456954,1.0483503249871762
15068,70.67248436560725,59.93543705831376
12158,1.3335441705011186,1.1151144481895874
3528,25.8474462333934,22.611730680360406
9374,5.828208278887859,5.088133206448171
421,11.097231976123446,10.04370690976655
1355,7.416804493649241,7.02966362619009
4232,1.3433393883829774,1.034297325710159
4677,7.099895655221889,5.763629833139861
9928,166.93430111745724,147.81199878280987
15914,1.6175374234768998,1.3274312941876667
9586,16.436246280616817,14.30109566979703
13038,4.165553809911612,3.522598812943067
11019,0.09776139355708838,0.11381114790245263
899,0.18682501436292104,0.20770358211727546
7520,0.5874524564195696,0.5519252744647907
8179,5.8844805929345005,4.904727526657573
13891,32.200112400859794,27.246279347278275
11317,8.86695647575179,9.511657001472772
4385,31.045040214719013,25.852333646467606
11023,0.06486968470563641,0.08437591856299415
16674,2.489886698562588,2.6500340669030273
2111,2.3751905955113797,2.0979855562493936
9057,4.986274819366412,4.463257267873318
3376,3.535184481132588,2.962471493434824
13375,5.181820088630572,4.726181288875983
9668,8.152747190072235,7.036056351105176
8283,2.1934999574615177,2.626630767290848
1047,1.2967089222024952,1.243658485313015
12754,0.4824417236358883,0.575475242687311
8674,1.0095655131163135,0.8832348344585151
5763,3.0253188647534484,3.933578963846109
8558,0.37880706487161636,0.5001839015974793
16194,2.896084214535543,2.803092999827061
12200,89.45583940220466,79.49934817742341
2875,1.8912774054381696,2.04875831226871
1365,1.6729475330304173,1.3556712685233696
8350,8.673224563088889,6.8516078842659125
14635,5.32391175882474,7.316284791838872
8121,0.26234403655297933,0.27121373554692035
1149,0.5959799771635875,0.5312602141472688
80,0.9610579596563094,1.0863225934757585
14190,5.729756490760334,5.3623515663930235
100,10.868157263062129,9.655539764337536
2304,33.768874266097114,28.478681111786965
15314,0.7612918919330321,0.6117477802094308
5736,14.608677681686817,12.067705577093456
4923,5.762126428606633,4.828601391823492
10296,0.5160115809826215,0.47860115122759045
13878,14.120431355558281,14.370327997097002
16334,6.34013561580583,4.83549147772802
8264,0.539829488371251,0.5008830714812219
9566,0.5799373695861455,0.5192094456566035
9234,1.9666409943920629,1.5572521591326636
4022,0.8280141258640316,0.856555425282391
7884,0.9944688664774466,1.0889536939781717
11812,28.439648295822863,23.904421678017382
14728,0.9643275800211226,0.9071242995743624
9786,21.42122778107224,18.983051440878643
1850,3.7490791339515948,3.578893530174539
2747,0.8997766046021552,0.8940310061247703
16928,0.2625431304159901,0.3234313559032621
16790,0.9227025560218657,1.1887200647905904
11913,1.0860925374752808,1.2916842946045757
1065,0.1495961144124247,0.16044419804524823
16922,0.03222414695759829,0.028126500341876234
10369,0.21092912925189342,0.1967666910446367
5714,28.569044170945975,23.220767662855984
8282,1.3381986741049774,1.200150617036845
4578,68.07848347354272,59.09480170576459
15306,0.32966490306991275,0.34921474982448264
9732,3.3617719055977373,2.8740544623208306
13828,50.50504532016069,49.85580313176751
13382,21.464756450262982,18.852073544699067
5480,12.517810525835662,10.425596274144882
16223,0.7048917956524047,0.8298246873403189
4292,5.265794193718977,4.764464726747167
1104,0.23721120658309322,0.2588244267631619
9295,0.9006495561550829,0.65351881717165
6025,0.32908003744358305,0.4098125461501022
11289,2.5042767259105383,2.20335429203737
5959,3.8236837767898995,3.3239488053246418
3725,1.048608520850575,1.0327870064849114
3088,0.5808550876243669,0.5876613980203873
14593,33.638530044532196,38.4755841738636
2710,1.0512659202065746,1.0509551615761101
2182,4.075017025259303,3.6805840180822114
