Number,Divergence
1,-0.0003935389395337552
2,-6.585212395293638e-05
3,-6.501152529381216e-05
4,-0.00011774737504310906
5,1.6645390132907778e-05
6,-4.4000633351970464e-05
7,-0.0004312651581130922
8,-0.0008159949211403728
9,-0.0010258101392537355
10,-0.0011861621169373393
11,-0.001305546727962792
12,-0.001344427466392517
13,-0.0012216436443850398
14,-0.0008604564936831594
15,-0.0005061243427917361
16,-0.0003084127383772284
17,1.815994255593978e-05
18,0.00015780646936036646
19,0.00017731121624819934
20,0.0002463622950017452
21,0.00025680463295429945
22,0.00016048314864747226
23,4.853055361309089e-05
24,-2.9580158297903836e-05
25,-1.7906086213770323e-05
26,-6.215233588591218e-05
27,-3.192193616996519e-05
28,-2.654579293448478e-05
29,0.00012992677511647344
30,0.00035544679849408567
31,0.00040611380245536566
32,0.0003632487787399441
33,0.000327890069456771
34,0.0001238979893969372
35,3.288917241661693e-06
36,7.176258077379316e-05
37,0.00021617510356009007
38,0.0003400355053599924
39,0.00031565033714286983
40,0.00031923415372148156
41,0.0002338548074476421
42,0.0001511252485215664
43,0.00014670382370240986
44,0.00015286932466551661
45,0.000179128153831698
46,0.00018056659610010684
47,0.00015405692101921886
48,0.00011317863391013816
49,0.000111171837488655
50,0.0001637594832573086
51,0.00010453186405356973
52,0.0002695798175409436
53,0.00020547743770293891
54,0.0003161192580591887
55,0.00031741338898427784
56,0.00016337282431777567
57,5.9283338487148285e-05
58,-3.9733396988594905e-05
59,-1.2553520718938671e-05
60,0.00012238392082508653
61,-2.1132016627234407e-05
62,-7.792683754814789e-05
63,-9.314230555901304e-05
64,-7.589875167468563e-05
65,-7.58914538891986e-05
66,0.00012073769175913185
67,7.987249409779906e-05
68,0.00016725572641007602
69,0.0002480535476934165
70,0.00011106030433438718
71,-7.136434578569606e-05
72,-0.00021985211060382426
73,-0.0002670578833203763
74,-0.00011663540499284863
75,-0.00011815730977104977
76,-0.00014311105769593269
77,-0.00011631197412498295
78,-9.494791447650641e-05
79,-4.5853717892896384e-05
80,-6.0186750488355756e-05
81,6.557135202456266e-05
82,0.00018961017485707998
83,0.00014149045455269516
84,0.00013105796824675053
85,9.82819838100113e-05
86,4.631274350685999e-05
87,8.561792128602974e-06
88,-4.4248710764804855e-05
89,7.347805512836203e-05
90,-3.1523923098575324e-05
91,-8.423499093623832e-05
92,0.00024942486197687685
93,0.00032589954207651317
94,5.340110510587692e-05
95,-4.3567571992753074e-05
96,-0.00014270006795413792
97,-0.0003378190740477294
98,-0.0004669528570957482
99,-0.0004166209255345166
100,-0.0004117977514397353
