Number,Divergence
95,1.2473623428377323e-05
96,1.1367293154762592e-05
97,-5.542348844755907e-06
98,-5.206873083807295e-06
99,-4.13266889154329e-06
100,-7.76054548623506e-06
101,-1.521732428955147e-05
102,-4.307607923692558e-06
103,4.170829470240278e-06
104,8.498744250573509e-07
105,5.751289791078307e-06
106,9.935138223227113e-06
107,1.1535871635715012e-05
108,-6.928536095074378e-06
109,-9.747755939315539e-06
110,-1.3339236829779111e-05
111,1.2105783753213473e-06
112,7.0945425250101835e-06
113,1.3637378287967294e-05
114,-9.221667824022006e-06
115,-5.300387329043588e-07
116,-9.151900485449005e-06
117,-7.44384078643634e-06
118,-1.2824400073441211e-05
119,-6.600183951377403e-06
120,-1.1919270036742091e-05
121,-8.075693585851695e-06
122,-6.952816420380259e-06
123,-8.673828233440872e-06
124,-1.3051871064817533e-05
125,8.953427823144011e-06
126,-8.850403901305981e-06
127,-1.1232596989430021e-05
128,-3.2546918191656005e-06
129,1.684679045865778e-05
130,9.340145879832562e-06
131,1.0503631528990809e-06
132,-1.614254074411292e-06
133,5.954259904683568e-06
134,-1.565652564750053e-05
135,1.5856250684009865e-05
136,5.6815902098605875e-06
137,9.039675205713138e-06
138,8.068440365605056e-06
139,-1.7308870155829936e-05
140,-1.5788467862876132e-05
141,1.3823480912833475e-05
142,1.0449536603118759e-05
143,-9.825013876252342e-06
144,-1.4552128050127067e-05
145,-3.0274161417764844e-06
146,-2.813032779158675e-06
147,7.127874141588109e-06
148,1.71755764313275e-05
149,-1.4653798643848859e-05
150,3.827483396889875e-06
151,-1.0050659511762206e-05
152,-8.707844244781882e-06
153,4.814516159967752e-06
154,-1.1137059118482284e-05
155,7.3951937338279095e-06
156,-9.36784635996446e-06
157,6.141746780485846e-06
158,-5.219239483267302e-06
159,-8.218958100769669e-06
160,7.645423465874046e-06
161,-3.913200998795219e-06
162,-2.3741390577924903e-06
163,-2.1034804831288056e-06
164,1.1031285794160794e-05
165,-2.8813021799578564e-06
166,-1.433951297258318e-06
167,1.5713880202383734e-05
168,3.0154681098792935e-06
169,-5.631298790831352e-06
170,9.222500011674128e-06
171,1.2099924788344651e-05
172,1.6133735698531382e-05
173,7.5250177360430826e-06
174,2.930431037384551e-06
175,-3.0480462100967998e-06
176,-2.1883274712308776e-06
177,-1.7695221686153673e-05
178,-1.062273804564029e-05
179,-1.2987246009288356e-05
180,-1.1141734148623073e-06
181,6.696722721244441e-06
182,1.054351196216885e-05
183,-6.5147241912200116e-06
184,-1.0064449270430487e-05
185,-8.44905571284471e-06
186,6.859831046313047e-06
187,-9.123151357925963e-06
